Epoch,iteration,SparseConv0_64-64-(1  1),SparseConv1_64-64-(3  3),SparseConv2_64-256-(1  1),SparseConv3_64-256-(1  1),SparseConv4_256-64-(1  1),SparseConv5_64-64-(3  3),SparseConv6_64-256-(1  1),SparseConv7_256-64-(1  1),SparseConv8_64-64-(3  3),SparseConv9_64-256-(1  1),SparseConv10_256-128-(1  1),SparseConv11_128-128-(3  3),SparseConv12_128-512-(1  1),SparseConv13_256-512-(1  1),SparseConv14_512-128-(1  1),SparseConv15_128-128-(3  3),SparseConv16_128-512-(1  1),SparseConv17_512-128-(1  1),SparseConv18_128-128-(3  3),SparseConv19_128-512-(1  1),SparseConv20_512-128-(1  1),SparseConv21_128-128-(3  3),SparseConv22_128-512-(1  1),SparseConv23_512-256-(1  1),SparseConv24_256-256-(3  3),SparseConv25_256-1024-(1  1),SparseConv26_512-1024-(1  1),SparseConv27_1024-256-(1  1),SparseConv28_256-256-(3  3),SparseConv29_256-1024-(1  1),SparseConv30_1024-256-(1  1),SparseConv31_256-256-(3  3),SparseConv32_256-1024-(1  1),SparseConv33_1024-256-(1  1),SparseConv34_256-256-(3  3),SparseConv35_256-1024-(1  1),SparseConv36_1024-256-(1  1),SparseConv37_256-256-(3  3),SparseConv38_256-1024-(1  1),SparseConv39_1024-256-(1  1),SparseConv40_256-256-(3  3),SparseConv41_256-1024-(1  1),SparseConv42_1024-512-(1  1),SparseConv43_512-512-(3  3),SparseConv44_512-2048-(1  1),SparseConv45_1024-2048-(1  1),SparseConv46_2048-512-(1  1),SparseConv47_512-512-(3  3),SparseConv48_512-2048-(1  1),SparseConv49_2048-512-(1  1),SparseConv50_512-512-(3  3),SparseConv51_512-2048-(1  1),Linear0_2048-1000
0,0,0.259521484375,0.2586262822151184,0.2615966796875,0.26416015625,0.26800537109375,0.2583821415901184,0.25787353515625,0.26043701171875,0.255615234375,0.2537841796875,0.258392333984375,0.2557644248008728,0.2562408447265625,0.2569427490234375,0.2711944580078125,0.2560017704963684,0.2559661865234375,0.257415771484375,0.2563205361366272,0.255889892578125,0.2559967041015625,0.25457763671875,0.2556610107421875,0.25469207763671875,0.2561204433441162,0.2552375793457031,0.25582313537597656,0.25948333740234375,0.2554897665977478,0.25583648681640625,0.2567596435546875,0.2553456425666809,0.2549285888671875,0.2561836242675781,0.254896342754364,0.2550697326660156,0.25485992431640625,0.2554880976676941,0.2555198669433594,0.25518798828125,0.2551456093788147,0.2552680969238281,0.25488853454589844,0.2547624111175537,0.2545900344848633,0.25536012649536133,0.2553863525390625,0.25481414794921875,0.2551584243774414,0.2550773620605469,0.25482600927352905,0.2549018859863281,0.2541571855545044
0,2400,0.264404296875,0.3621147871017456,0.2889404296875,0.28753662109375,0.29010009765625,0.3687065839767456,0.28729248046875,0.28790283203125,0.3938259482383728,0.28857421875,0.350250244140625,0.4050632119178772,0.323211669921875,0.3755035400390625,0.310546875,0.405042827129364,0.323974609375,0.32012939453125,0.40484619140625,0.3228759765625,0.3229217529296875,0.4043239951133728,0.321868896484375,0.3754119873046875,0.4085099697113037,0.34229278564453125,0.3888988494873047,0.3317375183105469,0.4092491865158081,0.3421440124511719,0.34114837646484375,0.4091525673866272,0.3423118591308594,0.3426513671875,0.4094780683517456,0.3430671691894531,0.3418693542480469,0.4090152382850647,0.34243011474609375,0.34261322021484375,0.4093610644340515,0.34093475341796875,0.3900566101074219,0.41171854734420776,0.35193347930908203,0.39493846893310547,0.3524150848388672,0.4111705422401428,0.3523120880126953,0.3523445129394531,0.4116160273551941,0.35248661041259766,0.3211171627044678
0,4800,0.2724609375,0.5039604902267456,0.3173828125,0.31597900390625,0.31341552734375,0.5178493857383728,0.3203125,0.31512451171875,0.5685763955116272,0.3238525390625,0.46356201171875,0.59356689453125,0.404571533203125,0.5239715576171875,0.3602447509765625,0.5851101279258728,0.402679443359375,0.3970794677734375,0.5860527753829956,0.4040374755859375,0.4037322998046875,0.5937635898590088,0.406280517578125,0.524658203125,0.6018778085708618,0.45180511474609375,0.5579948425292969,0.4217338562011719,0.6020456552505493,0.44947052001953125,0.4452095031738281,0.6030086874961853,0.45153045654296875,0.44869232177734375,0.6047126054763794,0.4513664245605469,0.4498100280761719,0.6041734218597412,0.4506187438964844,0.451171875,0.603759765625,0.44995880126953125,0.5629501342773438,0.615657389163971,0.4732179641723633,0.5752272605895996,0.4739494323730469,0.6135402321815491,0.47157859802246094,0.47390174865722656,0.6116557717323303,0.4688072204589844,0.3955395221710205
1,0,0.276123046875,0.6060384511947632,0.336669921875,0.338134765625,0.32647705078125,0.6219346523284912,0.34637451171875,0.3387451171875,0.6793348789215088,0.34814453125,0.54266357421875,0.7130466103553772,0.465789794921875,0.6256256103515625,0.397003173828125,0.6916164755821228,0.4588775634765625,0.45428466796875,0.6994086503982544,0.4632720947265625,0.461334228515625,0.710693359375,0.4687347412109375,0.625152587890625,0.7242855429649353,0.5317726135253906,0.6701469421386719,0.4874725341796875,0.7206709384918213,0.5267677307128906,0.5202178955078125,0.7236192226409912,0.5307579040527344,0.525787353515625,0.7253909707069397,0.5312576293945312,0.526885986328125,0.7253926992416382,0.5297393798828125,0.5318717956542969,0.7269846200942993,0.5283393859863281,0.6787185668945312,0.7466981410980225,0.5613374710083008,0.6986198425292969,0.5622997283935547,0.7464357614517212,0.5583868026733398,0.5623912811279297,0.7439520359039307,0.5528583526611328,0.4483642578125
1,2400,0.2841796875,0.735595703125,0.36517333984375,0.37420654296875,0.353759765625,0.7538248896598816,0.38824462890625,0.37310791015625,0.808837890625,0.389404296875,0.652435302734375,0.84539794921875,0.561126708984375,0.7558975219726562,0.4596099853515625,0.7972548007965088,0.54852294921875,0.5418853759765625,0.8099704384803772,0.5536956787109375,0.552154541015625,0.8300102949142456,0.56396484375,0.7510833740234375,0.8477749228477478,0.6512336730957031,0.8032779693603516,0.5878448486328125,0.8381144404411316,0.6412429809570312,0.6319046020507812,0.8436855673789978,0.6475372314453125,0.6374473571777344,0.8450114130973816,0.6482048034667969,0.6438674926757812,0.8445027470588684,0.6474838256835938,0.6485710144042969,0.8479088544845581,0.6448249816894531,0.8150691986083984,0.8774418234825134,0.6906166076660156,0.8377566337585449,0.6885919570922852,0.8819139003753662,0.684758186340332,0.6944265365600586,0.8827857971191406,0.6749505996704102,0.5275923013687134
1,4800,0.290771484375,0.8165690302848816,0.39984130859375,0.41070556640625,0.38311767578125,0.8266872763633728,0.42950439453125,0.41387939453125,0.875732421875,0.4334716796875,0.744659423828125,0.9074774980545044,0.655670166015625,0.8393096923828125,0.5214996337890625,0.8473374843597412,0.634735107421875,0.623809814453125,0.8600260615348816,0.63983154296875,0.6387786865234375,0.8833821415901184,0.6566925048828125,0.8334197998046875,0.9010009765625,0.7539825439453125,0.8740177154541016,0.6796684265136719,0.8884361982345581,0.7400360107421875,0.7288131713867188,0.8958401083946228,0.748870849609375,0.7362518310546875,0.8972846269607544,0.7490348815917969,0.7425613403320312,0.8967030644416809,0.7487754821777344,0.7488441467285156,0.8987240195274353,0.7447586059570312,0.8871631622314453,0.9280255436897278,0.7955408096313477,0.9066586494445801,0.7891254425048828,0.9369214177131653,0.7883701324462891,0.8048563003540039,0.9420055747032166,0.774749755859375,0.6033329963684082
2,0,0.29931640625,0.8433159589767456,0.42218017578125,0.43389892578125,0.4041748046875,0.8521592617034912,0.4581298828125,0.43731689453125,0.8958604335784912,0.4639892578125,0.794677734375,0.9254828691482544,0.714752197265625,0.8704452514648438,0.5599822998046875,0.8650309443473816,0.6864166259765625,0.6718292236328125,0.8766818642616272,0.69061279296875,0.691680908203125,0.9005262851715088,0.7112884521484375,0.8648147583007812,0.9162495732307434,0.8069992065429688,0.8964099884033203,0.7283401489257812,0.9050462245941162,0.7900047302246094,0.7781105041503906,0.9126875400543213,0.8005599975585938,0.7877273559570312,0.9144999384880066,0.80206298828125,0.7930870056152344,0.9137284755706787,0.7999000549316406,0.7994003295898438,0.9144371747970581,0.7973785400390625,0.909393310546875,0.9415634870529175,0.8441648483276367,0.9290094375610352,0.8352031707763672,0.9515330195426941,0.8388938903808594,0.8586053848266602,0.9585698246955872,0.822535514831543,0.6493041515350342
2,2400,0.3076171875,0.8623318076133728,0.4625244140625,0.47161865234375,0.43841552734375,0.867919921875,0.50238037109375,0.47625732421875,0.9096950888633728,0.509765625,0.84228515625,0.9398125410079956,0.7908935546875,0.893524169921875,0.61187744140625,0.8794013261795044,0.752899169921875,0.732666015625,0.8886922001838684,0.7534332275390625,0.7535858154296875,0.91217041015625,0.7813873291015625,0.8900299072265625,0.9272325038909912,0.8603096008300781,0.9121265411376953,0.7819099426269531,0.9176093339920044,0.8407478332519531,0.8292007446289062,0.9266102910041809,0.8515625,0.8372344970703125,0.927490234375,0.8545799255371094,0.8424224853515625,0.9270155429840088,0.8525428771972656,0.8467216491699219,0.9256489872932434,0.8465118408203125,0.9243221282958984,0.9502881169319153,0.8890981674194336,0.9449148178100586,0.8763456344604492,0.9614927768707275,0.8864412307739258,0.9086465835571289,0.9703076481819153,0.8685417175292969,0.708999514579773
2,4800,0.3173828125,0.8697916865348816,0.50128173828125,0.511474609375,0.473388671875,0.8754340410232544,0.544677734375,0.51104736328125,0.9148220419883728,0.558349609375,0.86639404296875,0.9457939863204956,0.8466033935546875,0.905914306640625,0.655303955078125,0.8898518681526184,0.8016204833984375,0.7736968994140625,0.8954603672027588,0.796630859375,0.799468994140625,0.9187825322151184,0.825897216796875,0.9017105102539062,0.9327256679534912,0.8893203735351562,0.9193954467773438,0.8154029846191406,0.9243859052658081,0.8693656921386719,0.8589286804199219,0.9336869716644287,0.8792304992675781,0.8658638000488281,0.9341159462928772,0.884002685546875,0.8696250915527344,0.9336140751838684,0.8806266784667969,0.8725814819335938,0.9315779209136963,0.8750152587890625,0.9313983917236328,0.9545817971229553,0.9121570587158203,0.9536552429199219,0.8972187042236328,0.966618001461029,0.9125699996948242,0.9355602264404297,0.9761581420898438,0.8948631286621094,0.7576030492782593
3,0,0.3251953125,0.8725043535232544,0.52752685546875,0.53338623046875,0.4957275390625,0.878173828125,0.572998046875,0.538818359375,0.9187282919883728,0.585693359375,0.876220703125,0.9478013515472412,0.8720550537109375,0.90936279296875,0.6791839599609375,0.8939548134803772,0.827545166015625,0.7929534912109375,0.8980780839920044,0.818389892578125,0.819000244140625,0.9210747480392456,0.846038818359375,0.9051895141601562,0.9344974160194397,0.9002685546875,0.9216804504394531,0.8296279907226562,0.9276055097579956,0.8816986083984375,0.8707466125488281,0.9364284873008728,0.890594482421875,0.8759841918945312,0.9370219111442566,0.8946037292480469,0.8801956176757812,0.9361640214920044,0.8913955688476562,0.88275146484375,0.9336276650428772,0.884979248046875,0.9341373443603516,0.9561012983322144,0.9211006164550781,0.9566946029663086,0.9053831100463867,0.9687966108322144,0.922943115234375,0.9457159042358398,0.9787614345550537,0.9061613082885742,0.7843877077102661
3,2400,0.3388671875,0.8771159052848816,0.563232421875,0.5694580078125,0.52801513671875,0.8818088173866272,0.614990234375,0.57525634765625,0.9171820878982544,0.6336669921875,0.886688232421875,0.9493815302848816,0.897979736328125,0.9126815795898438,0.704681396484375,0.8968845009803772,0.854156494140625,0.814117431640625,0.9030219316482544,0.8374481201171875,0.8376922607421875,0.9237602949142456,0.867584228515625,0.9092483520507812,0.9358656406402588,0.9094429016113281,0.9237918853759766,0.8422393798828125,0.9295196533203125,0.8915786743164062,0.8803634643554688,0.938873291015625,0.899505615234375,0.8862266540527344,0.9392310380935669,0.9041519165039062,0.8890151977539062,0.9377492070198059,0.9008255004882812,0.8901290893554688,0.9344719648361206,0.8939704895019531,0.9357585906982422,0.9570545554161072,0.928009033203125,0.9594802856445312,0.9111909866333008,0.9703733921051025,0.9322147369384766,0.9544925689697266,0.9812282919883728,0.917393684387207,0.8160122036933899
3,4800,0.34814453125,0.8808051347732544,0.59716796875,0.6026611328125,0.56085205078125,0.88525390625,0.65911865234375,0.60943603515625,0.9177788496017456,0.67120361328125,0.8916015625,0.9514092206954956,0.9105682373046875,0.9150161743164062,0.722442626953125,0.9000515341758728,0.8720245361328125,0.82513427734375,0.9057685136795044,0.849945068359375,0.8499603271484375,0.9262831211090088,0.8800811767578125,0.9114761352539062,0.9368388056755066,0.9142227172851562,0.9250621795654297,0.8503837585449219,0.9310286045074463,0.8968696594238281,0.8866081237792969,0.9398176670074463,0.9044418334960938,0.8911323547363281,0.9409196376800537,0.9091835021972656,0.89434814453125,0.9394734501838684,0.9059486389160156,0.894927978515625,0.9356672763824463,0.8990974426269531,0.936798095703125,0.9577522277832031,0.9321184158325195,0.9610199928283691,0.9144554138183594,0.9715864658355713,0.9379873275756836,0.9597291946411133,0.9826325178146362,0.9252243041992188,0.8403730392456055
4,0,0.36083984375,0.8824869990348816,0.62396240234375,0.62530517578125,0.58404541015625,0.88671875,0.6851806640625,0.63348388671875,0.9207085371017456,0.69378662109375,0.89605712890625,0.9518703818321228,0.9155731201171875,0.9153900146484375,0.7314605712890625,0.9006618857383728,0.8814849853515625,0.8297576904296875,0.90673828125,0.8543243408203125,0.854248046875,0.9269205927848816,0.883758544921875,0.9126434326171875,0.9373592734336853,0.9161338806152344,0.9259147644042969,0.8546104431152344,0.9315745234489441,0.899932861328125,0.8892860412597656,0.9396548867225647,0.9064369201660156,0.8931045532226562,0.9415944218635559,0.9112930297851562,0.8962135314941406,0.93975830078125,0.9080047607421875,0.8969268798828125,0.935577392578125,0.901031494140625,0.9371280670166016,0.957438588142395,0.9338235855102539,0.9614143371582031,0.9155435562133789,0.9721896052360535,0.9409704208374023,0.9619503021240234,0.9834616184234619,0.9290847778320312,0.8531103134155273
4,2400,0.370361328125,0.8826225996017456,0.65631103515625,0.65283203125,0.61456298828125,0.8882920742034912,0.71820068359375,0.66571044921875,0.9210340976715088,0.7294921875,0.897491455078125,0.9520331621170044,0.919830322265625,0.9161376953125,0.74542236328125,0.9017333984375,0.890167236328125,0.835235595703125,0.9068806767463684,0.859710693359375,0.8592987060546875,0.9267917275428772,0.887908935546875,0.9128189086914062,0.9371507167816162,0.9184684753417969,0.9264488220214844,0.8577384948730469,0.9316592812538147,0.9017868041992188,0.8923454284667969,0.9397091269493103,0.9085006713867188,0.8962249755859375,0.9418097734451294,0.9131927490234375,0.8982582092285156,0.9397464394569397,0.9098777770996094,0.89752197265625,0.9349365234375,0.9020195007324219,0.9372234344482422,0.9571664333343506,0.9348869323730469,0.9616274833679199,0.9158916473388672,0.9724290370941162,0.9437589645385742,0.9641714096069336,0.9842075705528259,0.9332962036132812,0.8677387833595276
